	SampleID-Lab	Cell Line	Inhibition Status	CRISPR	MRTX	BI	SHP2i	Time Point	Population
0	ES23NTXX01	23	NTXX	NT	False	False	False	0	A
1	ES23NTXX02	23	NTXX	NT	False	False	False	0	A
2	ES23NTXX03	23	NTXX	NT	False	False	False	0	B
3	ES23NTXX04	23	NTXX	NT	False	False	False	0	B
4	ES23S1XX01	23	S1XX	S1	False	False	False	0	A
5	ES23S1XX02	23	S1XX	S1	False	False	False	0	A
6	ES23S1XX03	23	S1XX	S1	False	False	False	0	B
7	ES23S1XX04	23	S1XX	S1	False	False	False	0	B
8	ES23S2XX01	23	S2XX	S2	False	False	False	0	A
9	ES23S2XX02	23	S2XX	S2	False	False	False	0	A
10	ES23S2XX03	23	S2XX	S2	False	False	False	0	B
11	ES23S2XX04	23	S2XX	S2	False	False	False	0	B
12	ES23NTMX01	23	NTMX	NT	True	False	False	6	A
13	ES23NTMX02	23	NTMX	NT	True	False	False	6	A
14	ES23NTMX03	23	NTMX	NT	True	False	False	6	B
15	ES23NTMX04	23	NTMX	NT	True	False	False	6	B
16	ES23NTMX05	23	NTMX	NT	True	False	False	72	A
17	ES23NTMX06	23	NTMX	NT	True	False	False	72	A
18	ES23NTMX07	23	NTMX	NT	True	False	False	72	B
19	ES23NTMX08	23	NTMX	NT	True	False	False	72	B
20	ES23S1MX01	23	S1MX	S1	True	False	False	6	A
21	ES23S1MX02	23	S1MX	S1	True	False	False	6	A
22	ES23S1MX03	23	S1MX	S1	True	False	False	6	B
23	ES23S1MX04	23	S1MX	S1	True	False	False	6	B
24	ES23S2MX01	23	S2MX	S2	True	False	False	6	A
25	ES23S2MX02	23	S2MX	S2	True	False	False	6	A
26	ES23S2MX03	23	S2MX	S2	True	False	False	6	B
27	ES23S2MX04	23	S2MX	S2	True	False	False	6	B
28	ES23NTMB01	23	NTMB	NT	True	True	False	6	A
29	ES23NTMB02	23	NTMB	NT	True	True	False	6	A
30	ES23NTMB03	23	NTMB	NT	True	True	False	6	B
31	ES23NTMB04	23	NTMB	NT	True	True	False	6	B
32	ES23NTMB05	23	NTMB	NT	True	True	False	72	A
33	ES23NTMB06	23	NTMB	NT	True	True	False	72	A
34	ES23NTMB07	23	NTMB	NT	True	True	False	72	B
35	ES23NTMB08	23	NTMB	NT	True	True	False	72	B
36	ES23S2MB01	23	S2MB	S2	True	True	False	6	A
37	ES23S2MB02	23	S2MB	S2	True	True	False	6	A
38	ES23S2MB03	23	S2MB	S2	True	True	False	6	B
39	ES23S2MB04	23	S2MB	S2	True	True	False	6	B
40	ES23NTXB01	23	NTXB	NT	False	True	False	6	A
41	ES23NTXB02	23	NTXB	NT	False	True	False	6	A
42	ES23NTXB03	23	NTXB	NT	False	True	False	6	B
43	ES23NTXB04	23	NTXB	NT	False	True	False	6	B
44	ES23S2XB01	23	S2XB	S2	False	True	False	6	A
45	ES23S2XB02	23	S2XB	S2	False	True	False	6	A
46	ES23S2XB03	23	S2XB	S2	False	True	False	6	B
47	ES23S2XB04	23	S2XB	S2	False	True	False	6	B
