"","abundance","counts","length","countsFromAbundance","counts_normalized"
"ABO",0,0,4585.33333333333,"no",0
"ABR",20.509006,11040.5905902933,4581.86680822074,"no",2.08536250631353
"ABRA",0,0,2755,"no",0
"ABRACL",7.52485,747.0666998,844.999172873878,"no",0.14110702436951
"ABT1",17.622484,4668.94650126667,2255,"no",0.881877278040299
"ABT1P1",0,0,821,"no",0
"ABTB1",19.999668,4678.46230105333,1991.01777449506,"no",0.883674635883651
"ABTB2",5.429562,2646.75336972,4149,"no",0.49992255355666
"AC000003.1",0,0,115,"no",0
"AC000003.2",0,0,1447,"no",0
"AC000029.1",0,0,91,"no",0
"AC000032.2",0,0,491,"no",0
"AC000036.4",0,0,2030,"no",0
"AC000041.8",0.081654,1.678894,175,"no",0.000317111894607598
"AC000067.1",0,0,287,"no",0
"AC000068.10",0.074159,4.00796773333333,460,"no",0.000757030665094672
"AC000068.5",0,0,2097,"no",0
"AC000068.9",0,0,427,"no",0
"AC000077.2",0,0,953,"no",0
"AC000078.5",0.071385,5.71999765333333,682,"no",0.00108040131955892
"AC000081.2",0,0,297,"no",0
"AC000089.3",0.210139,19.77627348,801,"no",0.00373537075689162
"AC000095.9",0,0,874,"no",0
"AC000099.1",0,0,1350,"no",0
"AC000110.1",0,0,584,"no",0
"AC000111.3",0,0,221,"no",0
"AC000111.4",0,0,193,"no",0
"AC000111.5",0,0,210,"no",0
"AC000111.6",0,0,376,"no",0
"AC000120.7",0,0,1589,"no",0
"AC000123.4",0.596009,36.13333344,516,"no",0.00682491558469236
"AC000124.1",0,0,957,"no",0
"AC000362.1",0,0,425,"no",0
"AC000367.1",0,0,1766,"no",0
"AC000370.2",0,0,646,"no",0
"AC000374.1",0,0,1745,"no",0
"AC000403.1",0,0,80,"no",0
"AC002044.4",0,0,158,"no",0
"AC002056.3",0.086147,7.75304346666667,766,"no",0.00146440591406588
"AC002056.5",0,0,284,"no",0
"AC002059.10",0,0,477,"no",0
"AC002064.4",0,0,289,"no",0
"AC002064.5",0,0,733,"no",0
"AC002066.1",1.112909,83.81934464,641.031918153236,"no",0.0158319174310931
"AC002066.2",0,0,90,"no",0
"AC002069.5",0.005449,0.953337213333333,1489,"no",0.000180067693326715
"AC002069.6",0,0,1159,"no",0
"AC002070.1",0,0,104,"no",0
"AC002075.3",0.002518,0.200005866666667,676,"no",3.77773935169828e-05
"AC002075.4",0.492776,14.58999696,252,"no",0.00275577944665041
"AC002076.10",0.584717,36.2044432666667,527,"no",0.00683834691023136
"AC002115.5",0,0,362,"no",0
"AC002115.9",0,0,568,"no",0
"AC002116.7",1.360411,102.77475376,643,"no",0.0194122421562427
"AC002116.8",0,0,1130,"no",0
"AC002117.1",0,0,499,"no",0
"AC002127.2",0,0,225,"no",0
"AC002127.4",0,0,792,"no",0
"AC002128.5",0,0,618,"no",0
"AC002306.1",0,0,937,"no",0
"AC002310.10",0,0,723,"no",0
"AC002310.12",0.352076,57.0496643866667,1379.15165475636,"no",0.0107756220228219
"AC002310.13",0,0,377,"no",0
"AC002310.17",0.111293,3.38666673333333,259,"no",0.00063967844557897
"AC002310.7",0,0,1219,"no",0
"AC002314.4",0,0,424,"no",0
"AC002321.1",0,0,589,"no",0
"AC002321.2",0,0,1617,"no",0
"AC002331.1",0,0,294,"no",0
"AC002365.1",0,0,642,"no",0
"AC002366.3",0,0,1190,"no",0
"AC002368.4",0,0,388,"no",0
"AC002383.2",0,0,671,"no",0
"AC002386.1",0,0,398,"no",0
"AC002395.1",0,0,101,"no",0
"AC002398.11",1.579803,260.838837186667,1405.28437216539,"no",0.0492676118012851
"AC002398.12",0,0,660,"no",0
"AC002398.13",1.985242,99.5970724933333,427,"no",0.0188120371838432
"AC002398.5",0,0,1187.66666666667,"no",0
"AC002398.9",0,0,1037,"no",0
"AC002400.1",0.093632,7.98666792,726,"no",0.00150853323420831
"AC002401.1",0,0,468,"no",0
"AC002429.4",0,0,148,"no",0
"AC002429.5",0,0,2569,"no",0
"AC002451.1",0,0,2398,"no",0
"AC002451.3",0.174477,6.29333217333333,307,"no",0.00118869356188103
"AC002454.1",0,0,443,"no",0
"AC002456.2",0,0,405.333333333333,"no",0
"AC002463.3",0,0,1188,"no",0
"AC002465.2",0,0,349,"no",0
"AC002467.7",2.335274,180.096249,656.389346175224,"no",0.034016836519823
"AC002472.1",0,0,192,"no",0
"AC002472.11",0,0,563,"no",0
"AC002472.13",0,0,2789.83333333333,"no",0
"AC002477.1",0.168965,1.7866668,90,"no",0.000337468174870179
"AC002480.2",0,0,2592,"no",0
"AC002480.3",0.609341,174.112068266667,2432,"no",0.0328865359231078
"AC002480.4",0,0,557,"no",0
"AC002480.5",0,0,1282,"no",0
"AC002485.1",0,0,75,"no",0
"AC002486.2",0,0,590,"no",0
"AC002486.3",0,0,391,"no",0
"AC002511.1",0,0,1147.14285714286,"no",0
"AC002511.2",0,0,450,"no",0
"AC002511.3",0,0,1000,"no",0
"AC002519.6",0.029015,2.853333,837,"no",0.000538941608926104
"AC002519.8",0,0,2792,"no",0
"AC002523.1",0,0,260,"no",0
"AC002539.1",0,0,662,"no",0
"AC002539.2",0,0,87,"no",0
"AC002542.2",0,0,193,"no",0
"AC002543.2",0,0,1954,"no",0
"AC002550.5",0,0,1379,"no",0
"AC002551.1",0,0,592,"no",0
"AC002553.1",0.06725,0.64000044,81,"no",0.000120884196428182
"AC002553.4",0,0,340,"no",0
"AC002558.1",0,0,90,"no",0
"AC002978.1",0,0,122,"no",0
"AC002979.1",0,0,100,"no",0
"AC002981.1",0,0,84,"no",0
"AC002984.2",0,0,448,"no",0
"AC002985.3",0.314872,25.3413740666667,685,"no",0.00478651489745066
"AC002992.1",0,0,108,"no",0
"AC002994.1",0,0,648,"no",0
"AC003001.1",0,0,77,"no",0
"AC003002.4",0.777056,41.63151104,456,"no",0.00786341921602647
"AC003002.6",0.576651,38.6880375866667,571.029000209832,"no",0.00730745174963866
"AC003003.5",0,0,2381,"no",0
"AC003005.2",0,0,526,"no",0
"AC003005.4",0,0,573.5,"no",0
"AC003006.1",0,0,86,"no",0
"AC003006.7",0.854972,42.2901628933333,421,"no",0.00798782631802179
"AC003009.1",0,0,686,"no",0
"AC003009.2",0,0,373,"no",0
"AC003029.1",0,0,792,"no",0
"AC003035.1",0,0,101,"no",0
"AC003043.1",0,0,57,"no",0
"AC003045.1",0,0,713,"no",0
"AC003051.1",0,0,1000.2,"no",0
"AC003070.1",0,0,2445.5,"no",0
"AC003075.4",0.502961,38.1333312666667,645.305142943489,"no",0.00720267802831616
"AC003079.1",0,0,286,"no",0
"AC003080.4",0,0,767,"no",0
"AC003084.2",0,0,435,"no",0
"AC003088.1",0,0,495,"no",0
"AC003090.1",0,0,1246.66666666667,"no",0
"AC003092.1",0,0,691,"no",0
"AC003092.2",0,0,446,"no",0
"AC003101.1",0,0,459,"no",0
"AC003102.1",0,0,1433,"no",0
"AC003102.3",2.552444,1424.18231801333,4749.02205180603,"no",0.269001588624326
"AC003104.1",0,0,767,"no",0
"AC003658.1",0,0,143,"no",0
"AC003664.1",0,0,485,"no",0
"AC003665.1",1.686412,241.313319933333,1217.90209154109,"no",0.0455796042383312
"AC003666.1",0,0,102,"no",0
"AC003681.1",0,0,88,"no",0
"AC003682.16",0,0,462,"no",0
"AC003682.17",0,0,760,"no",0
"AC003956.1",0,0,356,"no",0
"AC003958.1",0,0,1293,"no",0
"AC003958.2",0,0,3025,"no",0
"AC003958.6",0,0,421,"no",0
"AC003968.1",0,0,72,"no",0
"AC003973.1",0,0,714,"no",0
"AC003973.4",0,0,1394,"no",0
"AC003973.5",0,0,546,"no",0
"AC003973.6",0,0,1193,"no",0
"AC003984.1",0,0,2226.5,"no",0
"AC003985.1",0,0,362,"no",0
"AC003986.5",0,0,1526,"no",0
"AC003986.6",0.101757,20.45589472,1711,"no",0.00386373858656518
"AC003986.7",0.137755,11.2000015466667,692,"no",0.00211547227524281
"AC003988.1",0,0,578,"no",0
"AC003989.3",0,0,169,"no",0
"AC003989.4",0,0,536,"no",0
"AC003991.3",0,0,674.428571428571,"no",0
"AC004000.1",0,0,52,"no",0
"AC004004.2",0,0,250,"no",0
"AC004006.2",0,0,377,"no",0
"AC004009.3",0,0,567,"no",0
"AC004012.1",0,0,534,"no",0
"AC004014.3",0,0,538,"no",0
"AC004014.4",0,0,999,"no",0
"AC004016.1",0,0,94,"no",0
"AC004016.2",0,0,460,"no",0
"AC004017.1",0,0,261,"no",0
"AC004019.10",0,0,1132,"no",0
"AC004019.13",0,0,1838,"no",0
"AC004019.18",0.005549,1.04176816,1598,"no",0.000196770656729652
"AC004022.7",0,0,193,"no",0
"AC004022.8",0,0,1066,"no",0
"AC004041.2",0.141656,7.85566592,472,"no",0.0014837893895002
"AC004051.2",0,0,1951,"no",0
"AC004052.1",0,0,85,"no",0
"AC004053.1",0,0,2968,"no",0
"AC004054.1",0,0,270,"no",0
"AC004057.1",73.794456,3832.22705042667,442,"no",0.723836514114225
"AC004062.2",0,0,645,"no",0
"AC004063.1",0,0,547,"no",0
"AC004066.2",0,0,802,"no",0
"AC004066.3",0,0,572,"no",0
"AC004067.5",0.215781,17.7466706666667,700,"no",0.00335201648113803
"AC004069.1",0,0,1114,"no",0
"AC004069.2",1.303838,84.10102452,549,"no",0.0158851215288025
"AC004070.1",0,0,582,"no",0
"AC004074.3",0.87739,44.8422186,435,"no",0.00846986224184141
"AC004074.4",0.002936,0.366664133333333,1063,"no",6.92560447568378e-05
"AC004076.7",3.413048,208.922556053333,521,"no",0.0394615905330144
"AC004076.9",0.644012,49.7785616,657.875027173407,"no",0.00940224575215412
"AC004079.1",0,0,140,"no",0
"AC004112.4",0.070139,2.37333504,288,"no",0.000448278909253949
"AC004112.5",0,0,518,"no",0
"AC004112.7",0,0,1106,"no",0
"AC004125.3",0,0,480,"no",0
"AC004129.7",0,0,287,"no",0
"AC004129.9",0,0,796,"no",0
"AC004156.3",0.242602,53.6438002933333,1882,"no",0.0101323175524903
"AC004158.2",0.228698,37.3066689733333,1388.40963628891,"no",0.00704653687465214
"AC004158.3",0,0,3226,"no",0
"AC004159.1",0,0,616,"no",0
"AC004160.4",0,0,563,"no",0
"AC004166.6",0.244128,80.8571890666667,2819,"no",0.0152724212592191
"AC004221.2",0.608025,60.2933344,844,"no",0.0113882910438619
"AC004231.2",0.07547,7.2266702,815,"no",0.00136498378029004
"AC004231.7",0,0,1732,"no",0
"AC004237.1",0,0,502,"no",0
"AC004257.1",0,0,277,"no",0
"AC004257.3",3.588864,206.6133412,490,"no",0.0390254227361216
"AC004381.6",2.04688,599.69259568,2493.62495016806,"no",0.113270793271185
"AC004381.7",0,0,351,"no",0
"AC004383.3",0.371865,12.6266681733333,289,"no",0.00238494310363084
"AC004386.3",0,0,148,"no",0
"AC004386.4",0,0,761,"no",0
"AC004410.3",0,0,390,"no",0
"AC004447.2",1.769101,502.174523093333,2416,"no",0.0948514405565772
"AC004448.2",0.021824,1.33333546666667,520,"no",0.000251842305697783
"AC004448.5",0.003076,0.253332053333333,701,"no",4.78497197544136e-05
"AC004449.6",0.76346,38.8400018533333,433,"no",0.00733615497718925
"AC004453.8",1.306596,76.60324648,499,"no",0.0144689305128052
"AC004458.1",0,0,92,"no",0
"AC004460.1",0,0,83,"no",0
"AC004461.4",0,0,403,"no",0
"AC004463.6",0.222255,37.7333235333333,1445,"no",0.0071271239968079
"AC004466.1",0,0,1082,"no",0
"AC004471.10",0,0,1514,"no",0
"AC004471.9",0.164376,11.24000304,582,"no",0.00212302781438826
"AC004485.3",0,0,527,"no",0
"AC004490.1",0.016276,5.23596866666667,2738,"no",0.000988977233817434
"AC004492.1",0,0,67,"no",0
"AC004510.3",0,0,410.5,"no",0
"AC004520.1",0,0,100,"no",0
"AC004528.1",0,0,60,"no",0
"AC004528.4",0,0,641,"no",0
"AC004535.2",0,0,449,"no",0
"AC004538.3",0,0,805.555555555556,"no",0
"AC004540.4",0,0,559.5,"no",0
"AC004540.5",0.19544,19.91549524,867.311625051167,"no",0.00376166716159865
"AC004543.1",0,0,64,"no",0
"AC004543.2",0,0,369,"no",0
"AC004549.6",0.034756,3.50769786666667,859,"no",0.000662538978762029
"AC004552.1",0,0,98,"no",0
"AC004562.1",0,0,646.5,"no",0
"AC004593.3",0,0,798,"no",0
"AC004595.1",0,0,100,"no",0
"AC004603.4",0,0,1873,"no",0
"AC004623.2",0,0,377,"no",0
"AC004637.1",0,0,482,"no",0
"AC004655.1",0,0,70,"no",0
"AC004656.1",0,0,101,"no",0
"AC004673.1",0,0,74,"no",0
"AC004691.5",0,0,547,"no",0
"AC004692.4",0,0,443.333333333333,"no",0
"AC004692.5",0,0,424,"no",0
"AC004699.1",0,0,145,"no",0
"AC004702.2",0,0,195,"no",0
"AC004706.1",0,0,1559,"no",0
"AC004744.3",0,0,313,"no",0
"AC004745.1",0,0,83,"no",0
"AC004769.1",0,0,69,"no",0
"AC004771.1",0.040649,3.20461548,671,"no",0.000605292345050752
"AC004775.5",0,0,753,"no",0
"AC004791.2",0,0,412.5,"no",0
"AC004797.1",7.979196,1245.91761816,1329,"no",0.235330697721062
"AC004812.1",0,0,88,"no",0
"AC004817.1",0,0,432,"no",0
"AC004824.1",0.000172,0.00129706666666667,64,"no",2.44991802995918e-07
"AC004824.2",0,0,339,"no",0
"AC004832.1",0.036587,3.01333729333333,701,"no",0.000569163448187119
"AC004837.3",0.146684,9.71999856,564,"no",0.00183592719906363
"AC004837.4",0,0,565,"no",0
"AC004837.5",0,0,731,"no",0
"AC004840.8",0,0,608,"no",0
"AC004840.9",2.128053,516.80666336,2067,"no",0.0976151800911319
"AC004851.1",0,0,78,"no",0
"AC004851.2",0,0,78,"no",0
"AC004854.4",0,0,234.5,"no",0
"AC004854.5",0,0,349,"no",0
"AC004862.6",0,0,882.25,"no",0
"AC004866.1",0,0,78,"no",0
"AC004866.3",0,0,481,"no",0
"AC004869.2",0,0,540,"no",0
"AC004869.3",0,0,229,"no",0
"AC004870.3",0,0,389,"no",0
"AC004870.4",0,0,715.333333333333,"no",0
"AC004870.5",0,0,882,"no",0
"AC004875.1",0,0,86,"no",0
"AC004878.2",0,0,601,"no",0
"AC004878.3",0.787015,61.3021152,662.95928285992,"no",0.0115788310009597
"AC004878.5",0.07633,16.5909973333333,1850,"no",0.00313373125271932
"AC004878.6",0.094678,15.2285734666667,1369,"no",0.00287639468851855
"AC004878.7",0.012459,0.449390693333333,307,"no",8.48815554656551e-05
"AC004878.8",0,0,280,"no",0
"AC004889.1",0.331912,102.405561786667,2626,"no",0.0193425086494593
"AC004893.10",0.058331,9.54667476,1393,"no",0.00180318955237563
"AC004893.11",1.766429,398.6880652,1921.01992437851,"no",0.0753047707079837
"AC004895.1",0,0,70,"no",0
"AC004895.4",0.163763,10.2533290666667,532.898127171583,"no",0.00193666342625909
"AC004899.1",0,0,3860,"no",0
"AC004899.3",0,0,1714,"no",0
"AC004901.1",0,0,407.5,"no",0
"AC004906.3",0,0,969,"no",0
"AC004911.2",0,0,871,"no",0
"AC004917.1",0,0,963,"no",0
"AC004920.2",0,0,155,"no",0
"AC004920.3",0,0,482,"no",0
"AC004924.1",0.075402,1.32000093333333,149,"no",0.000249323660012563
"AC004938.5",0,0,308,"no",0
"AC004941.3",0,0,3120,"no",0
"AC004941.5",0,0,228,"no",0
"AC004943.1",1e-05,9.72e-05,81,"no",1.83592747105288e-08
"AC004945.1",0,0,983,"no",0
"AC004947.2",0,0,1309,"no",0
"AC004951.5",0.130645,12.1261734666667,790,"no",0.00229040894919814
"AC004951.6",0.161901,35.4949276,1866,"no",0.00670433257858777
"AC004967.7",15.220525,799.35990244,447,"no",0.150984239109851
"AC004969.1",0,0,84,"no",0
"AC004980.1",0,0,153,"no",0
"AC004980.10",0.701491,40.962243,497,"no",0.00773700691354358
"AC004980.11",0.010152,1.05202608,882,"no",0.00019870818729795
"AC004980.7",9.549515,995.26054544,887.054402239276,"no",0.18798623212226
"AC004980.8",0,0,203,"no",0
"AC004980.9",0,0,365,"no",0
"AC004985.12",0.29349,40.3445328,1170,"no",0.00762033292945617
"AC004987.10",0.003487,0.20811744,508,"no",3.93095190639094e-05
"AC004987.9",0.103076,20.9753282666667,1732,"no",0.00396184993612401
"AC004988.1",0,0,1771,"no",0
"AC005000.1",0.400364,24.1781830666667,514,"no",0.00456680972142376
"AC005000.2",0,0,56,"no",0
"AC005000.3",0,0,56,"no",0
"AC005000.4",0,0,514,"no",0
"AC005003.1",1.450266,306.026666133333,1796,"no",0.0578027534186126
"AC005007.3",0,0,478,"no",0
"AC005008.2",0,0,577,"no",0
"AC005008.3",0,0,612,"no",0
"AC005009.1",0,0,269,"no",0
"AC005009.2",0,0,683.5,"no",0
"AC005013.1",0,0,5051,"no",0
"AC005013.5",0,0,588,"no",0
"AC005014.5",0,0,2976,"no",0
"AC005017.2",0,0,483.5,"no",0
"AC005019.2",0,0,431,"no",0
"AC005019.3",0,0,359,"no",0
"AC005020.1",0.122829,1.22666673333333,85,"no",0.000231694563122774
"AC005022.1",0,0,1220,"no",0
"AC005027.3",0,0,386,"no",0
"AC005029.1",0,0,3263,"no",0
"AC005033.6",0,0,813,"no",0
"AC005034.2",0,0,489,"no",0
"AC005034.3",0,0,340,"no",0
"AC005037.1",0,0,1222,"no",0
"AC005037.2",0,0,114,"no",0
"AC005037.3",0,0,652.5,"no",0
"AC005037.4",0,0,501,"no",0
"AC005037.6",0,0,298,"no",0
"AC005040.3",0,0,482,"no",0
"AC005041.11",0,0,306,"no",0
"AC005041.17",0.32117,15.5466661866667,412,"no",0.00293647649541052
"AC005042.2",0,0,800,"no",0
"AC005042.3",0,0,174,"no",0
